explicable,可解释;可说明;可理解
expropriate,征用，没收(私有财产);侵占(他人财产)The Bolsheviks expropriated the property 
expulsion,驱逐;逐出;开除;
extradite,引渡(嫌犯或罪犯)
extrinsic,非固有的;非本质的;外在的;外来的
extrude,(被)挤压出，排出，喷出;(把金属或塑料)挤压成，压制
exultant,欢欣鼓舞的;兴高采烈的;
facsimile, 摹本；传真本；复制本 
factitious,人为的;虚假的
fainthearted,胆怯的;畏怯的
falsify,篡改，伪造tamper with
fanfare,(为庆祝而在媒体上的)喧耀
fealty,(尤指对君主的)效忠宣誓He swore fealty to the king.
fidelity,implies strict and continuing faithfulness to an obligation  trust  or duty. 
allegiance,(对政党、宗教、统治者的)忠诚，效忠，拥戴
febrile,狂热的;发热引起的;热性的;发热的a febrile reaction caused by an allergy
felicity,幸福，快乐，得体
felicitate,向…致贺，为…庆幸
felicitous,（措辞等）恰当的，贴切的
infelicity,不幸，不恰当
infelicitous,不幸的，不恰当的
feline,猫似的;猫科动物的
fencing,击剑运动;栅栏;篱笆;
ferocious,凶猛的;残暴的;猛烈的
petulant,闹脾气的;爱耍性子的;
cranky,古怪的;怪异的;脾气坏的
fractious,暴躁的;易怒的;动辄烦躁的;
peevish,I would rather figure things out on my own than ask that peevish librarian for help.
tetchy, irritably or peevishly sensitive ;a morose and tetchy resident of a nursing home
testy,易怒的;暴躁的
savage,凶残的，泯灭人性的
cruel,残酷的;冷酷的;残忍的;
crude,粗略的;简略的;大概的;
festal,节日的；喜庆的
fetish,迷恋;癖;
filament,(电灯泡的)灯丝;
filch,偷(尤指小的或不贵重的物品)
filial,子女(对父母)的
fishery,渔场
fissile,可裂变的
flabby,(肌肉)松弛的;肥胖的;软弱的;无力的flaccid
flaccid,软弱的;松弛的;不结实的
flagellate,鞭笞scourge
flair,天资;天赋;天分;
flannel,法兰绒;
flavoring,调味品;调味料
flay,剥(死人或动物的皮);毒打 
excoriate,擦破，擦伤，剥落(皮肤);严厉指责;痛斥
fractious,暴躁的;易怒的;动辄烦躁的;
factious,宗派性的；
fleck,色斑;斑点;微粒;小片 
freckle,雀斑;小斑点
speckle,斑点;色斑
speck,小点;污点
flick,（尤指用手指或手快速地）轻击，轻拍，轻拂，轻弹flicked the dust
floppy,松散下垂的;耷拉的;松软
floppy disk,软盘
florescence,开花（期），盛花期
flunk,失败，不及格;I flunked math
fodder,(马等家畜的)饲料，秣;
fondle,爱抚，抚摸=caress
foothold,立足处
fop,纨绔子弟;花花公子
foray,尝试;突袭;闪电式袭击;~ (into sth)
forebear,祖先;祖宗
foreclose,取消赎回权;排除…的可能preclude
